--a, --b, P@k (Rocchio), R@k (Rocchio), A@k (Rocchio)
0.25, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234947202915823
0.25, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.25, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167545226142503
0.25, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.25, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287345267973613
0.25, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227329448870705
0.25, 1.0, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.30000000000000004, 0.0, 0.15142857142857138, 0.28553789387733297, 0.008480315234024769
0.30000000000000004, 0.05, 0.13714285714285715, 0.2105901824127676, 0.007906418996893393
0.30000000000000004, 0.1, 0.13285714285714284, 0.20531240463498981, 0.007725963629293541
0.30000000000000004, 0.15000000000000002, 0.13857142857142857, 0.2360663728889581, 0.007962998913238652
0.30000000000000004, 0.2, 0.14, 0.24014800554201934, 0.008022644883510243
0.30000000000000004, 0.25, 0.14142857142857143, 0.2496718150658289, 0.008082292959859782
0.30000000000000004, 0.30000000000000004, 0.14, 0.24014800554201934, 0.008022644883510243
0.30000000000000004, 0.35000000000000003, 0.12142857142857143, 0.25183732246729135, 0.006958444397986265
0.30000000000000004, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.30000000000000004, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.30000000000000004, 0.5, 0.11857142857142858, 0.2305403117898235, 0.006833287470393939
0.30000000000000004, 0.55, 0.11428571428571428, 0.227116738536355, 0.006565457421418383
0.30000000000000004, 0.6000000000000001, 0.11, 0.21864453658100694, 0.006359081242452574
0.30000000000000004, 0.65, 0.10714285714285714, 0.2239098005813439, 0.006108027748265276
0.30000000000000004, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
